,cs_percent_pred,cs_duration_pred,Sickness level
cs_percent_pred,1.0,0.7244156487063791,0.4120288177159979
cs_duration_pred,0.7244156487063791,1.0,0.27390876336468484
Sickness level,0.4120288177159979,0.27390876336468484,1.0
