,cs_percent_pred,cs_duration_pred,Sickness level
cs_percent_pred,1.0,0.8166666666666667,0.39665625210776945
cs_duration_pred,0.8166666666666667,1.0,0.24474534704521944
Sickness level,0.39665625210776945,0.24474534704521944,1.0
