time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
25,0.000523,1.243702,0.002567,0.049294,0.001722,-0.020632,0.99857,-0.0782,0.8772,0.26213,0.179818,-0.103394,0.199576,-0.957677,0.09202,0.848622,0.248047,-0.093916,0.030265,0.014264,0.995018,0,0,0,0,0,0,0,1,0,0,0
26,0.00701,1.243453,0.004039,0.04551,0.016115,-0.025759,0.998502,-0.077571,0.877214,0.261957,0.179976,-0.103863,0.199426,-0.957628,0.092234,0.848696,0.248059,-0.093886,0.029491,0.015644,0.995023,0,0,0,0,0,0,0,1,0,0,0
27,0.009734,1.240675,0.00428,0.055341,0.021839,-0.029583,0.99779,-0.077389,0.876819,0.261776,0.180574,-0.104641,0.200409,-0.957225,0.091452,0.847678,0.247793,-0.092992,0.025151,0.016886,0.995206,0,0,0,0,0,0,0,1,0,0,0
28,0.009976,1.241532,0.003668,0.054067,0.022653,-0.030772,0.997806,-0.077437,0.876755,0.261769,0.180342,-0.104835,0.201046,-0.957114,0.090528,0.84789,0.248031,-0.092281,0.037827,0.022921,0.99475,0,0,0,0,0,0,0,1,0,0,0
29,0.009374,1.239685,0.004292,0.059842,0.021036,-0.031026,0.997504,-0.077408,0.876674,0.261752,0.180553,-0.105038,0.201443,-0.956968,0.089399,0.84633,0.250559,-0.091415,0.071117,0.044063,0.992292,0,0,0,0,0,0,0,1,0,0,1
30,0.010583,1.239403,0.004256,0.062249,0.023156,-0.035641,0.997155,-0.077586,0.876784,0.261672,0.181022,-0.105624,0.201766,-0.956747,0.087982,0.845875,0.248608,-0.097807,0.061708,0.044739,0.992282,0,0,0,0,0,0,0,1,0,0,1
31,0.017199,1.239686,0.003818,0.059097,0.03533,-0.04549,0.996589,-0.076254,0.876179,0.261741,0.180438,-0.107502,0.202687,-0.956454,0.087514,0.845413,0.248091,-0.099222,0.054296,0.045334,0.992548,0,0,0,0,0,0,0,1,0,0,1
32,0.016799,1.243581,0.001466,0.046177,0.039445,-0.043743,0.997195,-0.075865,0.875902,0.260823,0.180921,-0.108652,0.203435,-0.956074,0.085645,0.84412,0.24822,-0.098017,0.063671,0.052675,0.991748,0,0,0,0,0,0,0,1,0,0,1
33,0.012786,1.245934,0.002327,0.036592,0.024818,-0.038257,0.998289,-0.074197,0.874972,0.259767,0.18135,-0.113022,0.208561,-0.95438,0.071632,0.839014,0.237405,-0.095976,-0.006596,0.068354,0.993012,1,0,0,0,0,0,0,0,0,0,1
34,-0.014646,1.27269,-0.015511,-0.069308,-0.072032,-0.018548,0.994818,-0.070216,0.871857,0.257424,0.180154,-0.120656,0.217971,-0.951565,0.064601,0.841332,0.221124,-0.109964,-0.119716,0.045256,0.985661,1,0,0,0,0,0,0,0,0,0,1
35,-0.082264,1.2824,-0.074637,-0.159256,-0.227262,0.112005,0.954172,-0.065448,0.872618,0.252279,0.183718,-0.134994,0.221533,-0.948128,0.056145,0.835351,0.214487,-0.111551,-0.143559,0.059677,0.981522,1,0,0,0,0,0,0,0,0,0,1
36,-0.086395,1.28403,-0.079822,-0.140718,-0.38073,0.01279,0.913827,-0.060276,0.867858,0.25113,0.179268,-0.145101,0.229095,-0.945687,0.056589,0.834359,0.214456,-0.118131,-0.139437,0.07207,0.980514,1,0,0,0,0,0,0,0,0,0,0
37,-0.069946,1.276345,-0.054724,-0.093388,-0.270231,0.022701,0.957987,-0.058138,0.869914,0.247207,0.182886,-0.154174,0.236841,-0.941642,0.052109,0.833016,0.214056,-0.119116,-0.141665,0.082234,0.979275,1,0,0,0,0,0,0,0,0,0,0
38,0.079139,1.27943,-0.065032,-0.104877,0.302035,-0.027127,0.947122,-0.051234,0.861804,0.244929,0.182724,-0.173364,0.254524,-0.933689,0.048148,0.832213,0.210076,-0.126867,-0.152245,0.092703,0.975773,1,0,0,0,0,0,0,0,0,0,0
39,0.021695,1.317492,-0.090663,-0.288315,0.0171,-0.047014,0.956228,-0.045511,0.856141,0.242579,0.180292,-0.185488,0.26786,-0.928084,0.045704,0.833792,0.205953,-0.129816,-0.160313,0.098658,0.973506,1,0,0,0,0,0,0,0,0,0,0
40,0.012023,1.324513,-0.102893,-0.310143,-0.031103,-0.027231,0.949791,-0.168461,1.327377,-0.186622,0.926947,0.054447,-0.017089,-0.370827,0.192153,1.307158,-0.156132,-0.9321,-0.180472,-0.045909,0.310665,1,0,0,0,0,0,0,0,0,0,0
41,4.2e-05,1.324084,-0.181146,-0.400636,-0.064613,0.007213,0.913928,-0.086545,1.262704,-0.319038,0.971375,-0.205034,0.062261,-0.102541,0.127845,1.285146,-0.278652,-0.918249,-0.359191,0.139213,0.091765,0,1,0,0,0,0,0,0,0,0,0
42,-0.007325,1.331254,-0.24203,-0.568317,-0.019315,0.044487,0.82138,-0.071874,1.250981,-0.328464,0.962803,-0.235791,0.120981,-0.052697,0.126947,1.278654,-0.311432,-0.933252,-0.316008,0.166285,0.039093,0,1,0,0,0,0,0,0,0,0,0
43,-0.00622,1.3232,-0.140616,-0.358049,-0.031328,0.027424,0.932774,-0.072485,1.311307,-0.287616,0.940991,-0.204869,0.066397,-0.261067,0.127688,1.341199,-0.271596,-0.919614,-0.293214,0.07732,0.249714,0,1,0,0,0,0,0,0,0,0,0
44,0.002338,1.239487,-0.028633,0.068078,-0.026498,0.073726,0.994599,-0.078076,1.374176,-0.189336,0.863448,-0.155951,-0.026787,-0.478977,0.128254,1.391172,-0.187109,-0.833508,-0.302647,0.058423,0.458536,0,0,0,0,0,0,0,1,0,0,0
45,0.011842,1.223105,0.00676,0.111472,0.007626,-0.026396,0.993388,-0.135067,0.948954,0.143092,0.03818,-0.00342,-0.047854,-0.998119,0.07485,0.840472,0.199774,-0.102528,-0.040945,0.020179,0.993682,0,0,0,0,0,0,0,1,0,0,0
46,0.024023,1.238787,0.006387,0.059444,0.036812,-0.019774,0.997357,-0.058221,0.84794,0.253217,-0.062298,-0.120044,-0.013268,-0.990723,0.127206,0.844945,0.235534,-0.0724,0.065244,-0.043067,0.994307,0,0,0,0,0,0,0,1,0,0,0
47,0.01179,1.23922,0.010017,0.055108,0.008966,0.000844,0.99844,-0.070064,0.852884,0.258326,-0.039104,-0.085348,-0.011971,-0.995512,0.12848,0.839542,0.236922,-0.052564,0.074153,-0.071701,0.993276,1,0,0,0,0,0,0,0,0,0,0
48,0.022519,1.229126,0.013382,0.094302,0.045522,-0.004922,0.99449,-0.071252,0.854151,0.25845,-0.033412,-0.070549,-0.01687,-0.996806,0.120506,0.843372,0.240676,-0.031298,0.145036,-0.046313,0.987846,0,0,0,0,0,0,0,1,0,0,1
