bpm,Cybersickness
88.0,0
87.81986996981121,0
87.61315995974829,0
87.39651496477974,0
87.18657997987413,0
87.0,0
86.85342002012585,0
86.76348503522026,0
86.74684004025173,0
86.82013003018878,0
87.0,0
87.28644994968536,0
87.6128998993707,0
87.89612487421338,0
88.05289989937071,0
88.0,1
87.68878018113274,0
87.20891536729694,1
86.68466046289477,1
86.2402703723284,1
86.0,1
86.0464293257837,1
86.29543863144154,1
86.62123327420754,1
86.89801861131568,1
87.0,0
86.84550251573245,0
86.52933010693688,0
86.19040644027507,1
85.96765518240886,1
86.0,1
86.3795606112865,1
87.01124094081092,0
87.75314096469214,0
88.46336065904889,0
89.0,0
89.26025503912163,0
89.29770612981943,0
89.20502970095642,0
89.0749021813956,0
89.0,0
89.035419232227,0
89.08593453991135,0
89.01874023148223,0
88.70103061536872,0
88.0,0
86.84606803197039,0
85.42255571053514,0
83.97600937311468,0
82.75297535712949,0
82.0,0
81.88430863989144,0
82.2558426179481,0
82.88522227605904,0
83.54306795611332,0
84.0,0
84.08869740846383,0
83.89007381767247,0
83.54710152264916,0
83.20275281841722,0
83.0,0
83.04090172625317,0
83.26386211136204,0
83.56637163334433,0
83.84592077021775,0
84.0,0
83.9556956865235,0
83.75847773687937,0
83.48341194397354,0
83.20556410071178,0
83.0,0
82.92031552765287,1
82.93422694112043,1
82.98798059076157,1
83.02782282693511,1
83.0,1
82.87504220286505,1
82.72061449863891,1
82.62866569298028,1
82.69114459154775,0
83.0,0
83.61151566088698,0
84.43931506432392,0
85.36135663731736,0
86.25559880687388,0
87.0,0
87.49489515358707,0
87.73012524406546,0
87.7179077577503,0
87.47046018095676,0
87.0,0
86.34490372476476,0
85.64818395941427,0
85.07901233168143,0
84.80656046929903,0
85.0,0
85.75748994735393,0
86.89313891827749,0
88.15004291552404,0
89.27129794184707,0
90.0,0
90.15313648581957,0
89.84326036747589,0
89.25681600622244,0
88.58024776331266,0
88.0,0
87.64596410936781,0
87.42181961181896,0
87.17469305958622,0
86.7517110049023,0
86.0,0
84.83100707670917,0
83.41346118524822,0
81.9804117554327,0
80.76490821707812,0
80.0,0
79.84600758379547,0
80.17233564718808,0
80.77565991868295,0
81.45265612678521,0
82.0,0
82.26496258810893,0
82.29719622599943,0
82.19694856983548,0
82.06446727578103,0
82.0,0
82.07814206376888,0
82.27087944881421,0
82.52454580197512,0
82.78547477009069,0
83.0,0
83.1184691568156,0
83.1072859787437,0
82.93686822226402,0
82.57763364385623,0
82.0,0
81.19998130896874,0
80.27597663621094,0
79.35198130896875,0
78.55199065448437,0
78.0,0
77.79360560730936,0
77.9248074764125,0
78.35920654186094,0
79.06240373820626,0
80.0,0
81.13759626179377,0
82.44079345813908,0
83.87519252358753,0
85.40639439269064,0
87.0,0
