bpm,Cybersickness
86.0,0
86.0133595014316,0
85.89283224945348,0
85.66204981147406,0
85.34464375490178,0
84.96424564714499,0
84.54448705561214,0
84.10899954771163,0
83.68141469085185,0
83.28536405244122,0
82.94444129098807,0
82.67136872537189,0
82.4530464940882,0
82.27262434595328,0
82.1132520297834,0
81.95811079154626,0
81.79363149738352,0
81.61227474937074,0
81.40715619190524,0
81.17139146938455,0
80.89848033271092,0
80.60167147751973,0
80.3230654744877,0
80.10704999720895,0
79.99801271927758,0
80.0386769861449,0
80.22129019130632,0
80.47974422275013,0
80.74468032756079,0
80.94673975282272,0
81.02036758229418,0
80.9751866796205,0
80.8897347306857,0
80.84509769477047,0
80.92236153115554,0
81.19522020029308,0
81.6359401583009,0
82.14315207704806,0
82.61383225111472,0
82.94495697508103,0
83.04433612697255,0
82.92738178518466,0
82.67110748691023,0
82.35325312990214,0
82.05155861191322,0
81.83235353484085,0
81.67763828277498,1
81.5316166347842,1
81.33831408406431,0
81.04175612381113,0
80.60369965275075,0
80.08512125094582,0
79.58149062327972,0
79.18831210628717,0
79.00109003650293,0
79.08121900406621,0
79.34424584297781,0
79.66674328604387,0
79.9252836656461,0
79.99645006533885,0
79.80081936671947,0
79.40317392869522,0
78.89779732762943,0
78.37897313988542,0
77.94092551907642,0
77.65375679366214,1
77.5265355445099,1
77.55882409843042,1
77.7501847822344,1
78.09995572753353,1
78.57879088199378,1
79.10077777380644,1
79.5733835193653,1
79.90407523506423,1
80.00130262577633,1
79.83247070513224,1
79.45636521533666,1
78.93963260642865,1
78.34891932844725,1
77.75039406372669,0
77.19387676993692,0
76.70915396892785,1
76.32478791586598,0
76.06934086591785,0
75.96896837511234,0
75.99725642689381,0
76.07672336904604,0
76.12778131672212,0
76.07084238507503,0
75.83414565770796,0
75.46304485725533,0
75.09304878738794,0
74.86198535353965,0
74.90768246114429,0
75.35131508448708,0
76.13528584323265,0
77.09332763215939,0
78.05763947195373,0
78.86042038330224,0
79.35310474335839,0
79.5398881858822,0
79.49781394827986,0
79.30437390600919,0
79.03705993452805,0
78.76601920059521,0
78.51739079390298,0
78.30099631522229,0
78.12663062082274,0
78.00408856697378,1
77.93950651428831,1
77.92229703433597,1
77.93709678055718,0
77.96854203827424,0
78.00126933233283,0
78.02302273362632,0
78.03242797875856,0
78.03049127724167,0
78.01821883858766,0
77.99662095434998,0
77.96919847154868,0
77.9461692362128,0
77.93887212497174,0
77.95864601445493,0
78.0169095380237,0
78.13803182839143,0
78.373539185504,0
78.77837747919001,0
79.40749257927811,0
80.31464887008485,1
81.46990653475979,1
82.7056241367058,1
83.84133311290812,1
84.69656490035193,1
85.094486765526,1
84.99960884686789,1
84.56005067274221,1
83.936202696088,1
83.28845536984426,1
82.77298759549384,1
82.44386515928973,1
82.25003751003416,1
82.13564174241914,0
82.04481495113663,0
81.9238888691102,0
81.75510745717958,0
81.55002163738425,0
81.32103878508812,0
81.08056627565507,0
80.84320801884006,0
80.6491026366932,0
80.55486275919725,0
80.61737558313375,0
80.89352830528422,0
81.42615171998261,0
82.1379752771916,0
82.89082640963352,0
83.54605654067659,0
83.96501709368897,0
84.03225530332013,0
83.78124428843344,0
83.30431582038469,0
82.69394666548635,1
82.04261359005105,1
81.44010864470013,1
80.96310066884342,1
80.6842549098324,1
80.67623563662356,1
81.01170665510449,1
81.71826034572966,1
82.65482410210625,1
83.64087925381217,1
84.49590713042541,1
85.03946299640126,1
85.16474125411163,1
84.9767597297546,0
84.61839090677044,0
84.23250726859943,0
83.96167473736296,0
83.88346823556721,0
83.93045918186012,0
84.01559907047742,0
84.05183939565497,0
83.95289939597887,0
83.6976094608503,0
83.37853272615159,0
83.09968314564101,0
82.96507467307683,0
83.07665087332543,0
83.44420298857673,0
83.95058968057698,0
84.46941881177393,0
84.87429824461537,0
85.04263042050783,1
84.95443735643047,1
84.70168668010197,1
84.3820102303981,1
84.09303984619459,1
83.92785913005295,1
83.89790174622028,1
83.9439763454553,1
84.00456288152375,1
84.01814130819143,1
83.9280386362121,1
83.73872765227897,1
83.49653507971671,0
83.24860167872818,0
83.04206820951624,0
82.91928539866232,0
82.87851119143271,0
82.89424050379048,0
82.94073792701668,0
82.99226805239239,0
83.02595654260128,0
83.03862810713792,0
83.03540090806598,0
83.0214220271292,0
83.00183854607144,0
82.98179754663644,1
82.96644611056801,1
82.96093131960993,1
82.970400255506,1
83.0,0
