time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
25,0.005909,0.925001,0.006356,-0.021371,-0.00708,0.004434,-0.999737,-0.143309,0.660786,0.24543,-0.194057,0.007673,-0.064328,-0.978849,0.127785,0.652998,0.264829,0.056686,-0.027665,0.259492,0.963683,0,0,0,0,0,0,0,1,0,0,0,
26,0.006566,0.925655,0.005892,-0.01841,-0.008465,0.005451,-0.99978,-0.143297,0.660703,0.245626,-0.19403,0.008138,-0.063301,-0.978917,0.129246,0.651927,0.26617,0.056364,-0.026658,0.258548,0.963984,0,0,0,0,0,0,0,1,0,0,0,
27,0.006483,0.925905,0.005203,-0.01723,-0.00821,0.005182,-0.999804,-0.142678,0.660974,0.244869,-0.192878,0.006489,-0.062767,-0.979192,0.129513,0.651491,0.266405,0.056527,-0.025929,0.258247,0.964075,0,0,0,0,0,0,0,1,0,0,0,
28,0.006137,0.925605,0.004907,-0.016846,-0.007751,0.005089,-0.999815,-0.142821,0.660591,0.245009,-0.194589,0.006634,-0.063731,-0.97879,0.129489,0.651472,0.266702,0.056883,-0.025575,0.258084,0.964107,0,0,0,0,0,0,0,1,0,0,0,
29,0.004742,0.927358,0.006541,-0.012959,-0.004068,0.00402,-0.9999,-0.143451,0.660256,0.245312,-0.199236,0.007147,-0.068387,-0.977536,0.14818,0.635826,0.283832,0.212,-0.014907,0.139969,0.967079,0,0,0,0,0,0,0,1,0,0,0,
30,0.001444,0.924801,0.008558,-0.025114,0.008348,-0.003711,-0.999643,-0.139927,0.659233,0.244074,-0.200551,-0.012074,-0.058631,-0.977853,0.154347,0.605842,0.290591,0.351255,-0.018529,0.135827,0.92619,0,0,0,0,0,0,0,1,0,0,0,
31,0.001719,0.92476,0.007846,-0.025148,0.006832,-0.001399,-0.999659,-0.139702,0.659949,0.243843,-0.194512,-0.015283,-0.060311,-0.978925,0.15524,0.604894,0.291246,0.353453,-0.017964,0.135912,0.925352,0,0,0,0,0,0,0,1,0,0,0,
32,0.003028,0.925031,0.007112,-0.023535,0.004192,0.001166,-0.999714,-0.138678,0.660036,0.243798,-0.196928,-0.014798,-0.057376,-0.978626,0.156272,0.604111,0.292271,0.354767,-0.017027,0.135175,0.924975,0,0,0,0,0,0,0,1,0,0,0,
33,0.002651,0.925321,0.006572,-0.022938,0.003463,0.002307,-0.999728,-0.138923,0.659754,0.243611,-0.19717,-0.014495,-0.05698,-0.978605,0.15621,0.603371,0.292818,0.354497,-0.016738,0.135379,0.925054,0,0,0,0,0,0,0,1,0,0,0,
34,0.002885,0.925486,0.006243,-0.02161,0.002956,0.002514,-0.999759,-0.138923,0.659755,0.243611,-0.197176,-0.014489,-0.056965,-0.978604,0.157022,0.602903,0.293066,0.354613,-0.015913,0.135312,0.925033,0,0,0,0,0,0,0,1,0,0,0,
35,0.002408,0.925753,0.00583,-0.020042,0.003024,0.002588,-0.999791,-0.13935,0.659695,0.244074,-0.195421,-0.015344,-0.057546,-0.978909,0.156776,0.60298,0.293045,0.35491,-0.015487,0.135272,0.924933,0,0,0,0,0,0,0,1,0,0,0,
36,0.002888,0.926212,0.005381,-0.018118,0.002214,0.00281,-0.999829,-0.139467,0.659639,0.244235,-0.195617,-0.015151,-0.057498,-0.978876,0.157006,0.602762,0.293642,0.356156,-0.014786,0.13445,0.924585,1,0,0,0,0,0,0,0,0,0,0,
