time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,
25,-0.010916,1.10166,-0.010836,0.01975,0.088935,0.022555,-0.995586,-0.078146,0.740528,0.322285,0.013033,0.063632,0.054789,-0.996383,0.292118,0.716409,0.254745,-0.046449,0.20972,0.339243,0.915846,0,0,0,0,0,0,0,1,0,0,0,
26,0.012995,1.112718,-0.024957,0.071961,-0.024713,0.022489,-0.996848,-0.078673,0.740602,0.32274,0.012825,0.064915,0.056322,-0.996218,0.291675,0.716265,0.256068,-0.04696,0.210268,0.339682,0.915532,0,0,0,0,0,0,0,1,0,0,0,
27,0.018835,1.108973,-0.024221,0.057026,-0.036254,0.035552,-0.997081,-0.078413,0.740139,0.321935,0.012668,0.063738,0.057692,-0.996217,0.291505,0.716476,0.255498,-0.047855,0.209698,0.340342,0.915371,0,0,0,0,0,0,0,1,0,0,0,
28,0.024069,1.113622,-0.028534,0.079242,-0.062063,0.028286,-0.994519,-0.077224,0.739497,0.322232,0.013036,0.060122,0.059384,-0.996338,0.29168,0.71653,0.255915,-0.047936,0.210772,0.340524,0.915052,0,0,0,0,0,0,0,1,0,0,0,
29,0.00641,1.11987,-0.0339,0.108695,-0.001986,0.011766,-0.994004,-0.076771,0.740671,0.321646,0.015378,0.058733,0.057941,-0.996472,0.291768,0.716911,0.255528,-0.04845,0.212091,0.339053,0.915267,1,0,0,0,0,0,0,0,0,0,0,
30,0.00921,1.106347,-0.013316,0.038503,-0.026003,0.010911,-0.998861,-0.078143,0.740815,0.321957,0.010436,0.063499,0.051218,-0.996612,0.292519,0.717234,0.256592,-0.045294,0.21512,0.333447,0.91678,0,0,0,0,0,0,0,1,0,0,0,
31,0.001912,1.123135,-0.025676,0.11994,-0.007603,-0.007094,-0.992727,-0.077871,0.741123,0.321705,0.013769,0.062658,0.047156,-0.996825,0.293815,0.717541,0.256096,-0.048126,0.219541,0.33379,0.915461,0,0,0,0,0,0,0,1,0,0,0,
32,0.012505,1.126901,-0.034853,0.14326,-0.077616,-0.025634,-0.986304,-0.078994,0.741326,0.321409,0.007643,0.067266,0.043526,-0.996756,0.29387,0.717363,0.256224,-0.049588,0.22039,0.33443,0.914946,0,0,0,0,0,0,0,1,0,0,0,
33,0.01407,1.115507,-0.027556,0.082041,-0.079972,-0.01884,-0.993237,-0.078155,0.741607,0.320285,0.011323,0.062387,0.051405,-0.996663,0.293193,0.717328,0.255802,-0.050142,0.21843,0.335867,0.91486,0,0,0,0,0,0,0,1,0,0,0,
34,-0.029188,1.113859,-0.02286,0.073991,0.159963,0.016862,-0.984202,-0.078325,0.743148,0.320325,0.012082,0.065024,0.049532,-0.99658,0.293281,0.718368,0.255087,-0.050357,0.217925,0.335548,0.915085,0,0,0,0,0,0,0,1,0,0,0,
35,-0.053908,1.123472,-0.045796,0.12898,0.311702,0.014677,-0.941271,-0.078461,0.742532,0.319308,0.012295,0.067576,0.053177,-0.99622,0.292572,0.720152,0.255405,-0.053323,0.217645,0.332124,0.916232,0,0,0,0,0,0,0,1,0,0,0,
