time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
25,-0.026847,1.219016,0.024557,-0.001059,-0.063312,-0.008312,0.997959,-0.12444,0.803994,0.306065,0.018812,-0.019773,0.076518,0.996695,0.100281,0.779349,0.271342,0.024282,-0.004856,-0.023365,0.99942,0,0,0,0,0,0,0,1,0,0,0,
26,-0.016583,1.229498,0.021164,-0.052916,-0.032749,-0.025897,0.997726,-0.123978,0.803809,0.305857,0.018536,-0.019107,0.076047,0.996749,0.100758,0.779451,0.271389,0.023706,-0.004326,-0.023716,0.999428,1,0,0,0,0,0,0,0,0,0,0,
27,0.011433,1.233621,0.016497,-0.076095,0.10162,0.004662,0.991898,-0.124068,0.803834,0.305036,0.018484,-0.019372,0.075401,0.996794,0.100553,0.778793,0.270914,0.023948,-0.00526,-0.023091,0.999433,1,0,0,0,0,0,0,0,0,0,0,
28,0.016328,1.255236,0.002916,-0.17187,0.208031,0.099213,0.957779,-0.123336,0.805502,0.304299,0.017824,-0.017454,0.074885,0.99688,0.099221,0.779148,0.270297,0.024217,-0.00594,-0.021815,0.999451,1,0,0,0,0,0,0,0,0,0,0,
29,-0.028311,1.19815,0.031328,0.087205,-0.05385,0.005769,0.994717,-0.123153,0.804935,0.305471,0.01754,-0.018951,0.072806,0.997012,0.099774,0.778439,0.270883,0.026336,-0.00709,-0.020968,0.999408,0,0,0,0,0,0,0,0,1,0,0,
30,-0.017535,1.210573,0.035272,0.030922,-0.044842,-0.046015,0.997455,-0.124526,0.803549,0.305871,0.018358,-0.019154,0.075484,0.996794,0.100041,0.778276,0.271146,0.027385,-0.006088,-0.019691,0.999412,1,0,0,0,0,0,0,0,0,0,0,
31,-0.015468,1.229634,0.022169,-0.055916,-0.01553,-0.00179,0.998313,-0.123599,0.803444,0.305849,0.019047,-0.017915,0.073789,0.996931,0.100693,0.778259,0.271735,0.027623,-0.004964,-0.020602,0.999394,0,0,0,0,0,0,0,1,0,0,0,
32,0.040512,1.244339,-0.006757,-0.132875,0.272914,0.036072,0.952135,-0.124024,0.803929,0.304459,0.018827,-0.018339,0.074481,0.996876,0.099171,0.77761,0.269971,0.030049,-0.005884,-0.016835,0.999389,0,0,0,0,0,0,0,1,0,0,0,
33,0.020998,1.254241,-0.008397,-0.181166,0.155004,0.004162,0.971152,-0.123757,0.804615,0.303641,0.019609,-0.018195,0.073627,0.996927,0.097741,0.77778,0.270222,0.032576,-0.006221,-0.015408,0.999331,0,0,0,0,0,0,0,1,0,0,0,
34,-0.045776,1.256883,-0.022618,-0.190524,-0.198088,-0.025996,0.961138,-0.122522,0.803064,0.304879,0.018024,-0.016881,0.072792,0.997041,0.098789,0.780152,0.268831,0.031704,-0.005448,-0.014738,0.999374,0,1,0,0,0,0,0,0,0,0,0,
35,-0.05361,1.257862,-0.028924,-0.207455,-0.261908,-0.044661,0.941474,-0.12188,0.80179,0.30489,0.018141,-0.016612,0.072424,0.997071,0.09643,0.777338,0.270817,0.033666,-0.007949,-0.014456,0.999297,0,1,0,0,0,0,0,0,0,0,0,
36,-0.006831,1.24107,0.000811,-0.113733,0.014298,-0.022038,0.993164,-0.123955,0.803426,0.305141,0.019294,-0.016744,0.073852,0.996942,0.098308,0.775247,0.271646,0.032638,-0.005495,-0.011371,0.999388,1,0,0,0,0,0,0,0,0,0,0,
37,-0.018998,1.24164,0.001491,-0.113756,-0.057591,-0.029536,0.991398,-0.122631,0.802292,0.30556,0.020239,-0.016319,0.073167,0.996981,0.098634,0.77429,0.271525,0.034984,-0.005569,-0.012694,0.999292,1,0,0,0,0,0,0,0,0,0,0,
38,-0.059481,1.247232,-0.011893,-0.141028,-0.256635,-0.04419,0.955142,-0.122474,0.802219,0.305908,0.019043,-0.016245,0.07306,0.997013,0.099023,0.774502,0.27119,0.035217,-0.005084,-0.011851,0.999297,1,0,0,0,0,0,0,0,0,0,0,
39,-0.040728,1.246891,-0.004403,-0.131239,-0.1677,-0.043709,0.976085,-0.122387,0.801636,0.305815,0.018935,-0.01712,0.070961,0.997152,0.100179,0.777341,0.27065,0.031393,-0.000716,-0.010491,0.999452,1,0,0,0,0,0,0,0,0,0,0,
40,-0.025744,1.187954,0.048646,0.10846,-0.056445,-0.013023,0.992412,-0.122995,0.802382,0.306671,0.020599,-0.015785,0.070385,0.997182,0.098549,0.777459,0.27177,0.034052,-0.00289,-0.012992,0.999332,0,0,0,0,0,0,0,0,1,0,0,
41,0.010895,1.244898,0.012452,-0.137145,0.119504,0.015545,0.983193,-0.121545,0.803715,0.304288,0.019627,-0.013855,0.068904,0.997334,0.098533,0.778107,0.270541,0.032179,-0.003326,-0.010394,0.999423,1,0,0,0,0,0,0,0,0,0,0,
42,9.30E-05,1.239234,0.01057,-0.108254,0.032132,-0.030928,0.993122,-0.122527,0.80304,0.305243,0.019702,-0.015582,0.069885,0.997239,0.098276,0.777456,0.270332,0.034885,-0.004575,-0.011147,0.999319,0,0,0,0,0,0,0,1,0,0,0,
43,0.026164,1.244468,0.00109,-0.135971,0.185506,0.018262,0.973019,-0.123493,0.803189,0.305057,0.019878,-0.016725,0.070256,0.997191,0.097368,0.774332,0.270974,0.036224,-0.005858,-0.009749,0.999279,0,0,0,0,0,0,0,1,0,0,0,
44,0.00319,1.251151,0.000387,-0.169602,0.08288,0.020924,0.981799,-0.122231,0.803746,0.3031,0.018897,-0.015416,0.068584,0.997347,0.095011,0.771826,0.270168,0.038325,-0.008614,-0.008405,0.999193,0,0,0,0,0,0,0,1,0,0,0,
45,-0.023358,1.187891,0.053093,0.096165,-0.034354,0.004137,0.994764,-0.1233,0.802747,0.306664,0.019834,-0.017122,0.069206,0.997258,0.09764,0.773529,0.272847,0.034721,0.004166,0.005282,0.999374,1,0,0,0,0,0,0,0,0,0,0,
46,-0.011075,1.244456,0.017724,-0.136785,-0.004247,-0.005798,0.990575,-0.123144,0.802324,0.305338,0.01823,-0.019126,0.065866,0.997479,0.10015,0.775496,0.271639,0.041345,0.014301,-0.01998,0.998843,1,0,0,0,0,0,0,0,0,0,0,
47,-0.023117,1.271058,-0.021547,-0.283614,-0.00516,0.031343,0.958412,-0.124127,0.801872,0.304137,0.018497,-0.018472,0.066949,0.997414,0.096611,0.771528,0.273553,0.058488,0.009474,-0.012409,0.998166,1,0,0,0,0,0,0,0,0,0,0,
48,0.061811,1.245535,-0.023164,-0.163041,0.345082,-0.008021,0.924268,-0.124226,0.804903,0.305471,0.019706,-0.021443,0.067189,0.997315,0.095646,0.774847,0.269363,0.056448,0.004305,-0.007087,0.998371,1,0,0,0,0,0,0,0,0,0,0,
49,-0.017951,1.209605,0.03809,0.028132,0.00543,0.015716,0.999466,-0.124348,0.80351,0.307642,0.021508,-0.021264,0.068937,0.997162,0.10153,0.770403,0.278235,0.062817,0.018519,-0.007561,0.997825,1,0,0,0,0,0,0,0,0,0,0,
50,-0.071277,1.256728,-0.032467,-0.199167,-0.377353,-0.07241,0.901496,-0.125126,0.804709,0.304094,0.01782,-0.021255,0.069371,0.997205,0.105053,0.772598,0.275487,0.045578,0.024128,-0.029615,0.99823,1,0,0,0,0,0,0,0,0,0,0,
