time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
25,-0.003772,1.175587,-0.004826,0.02523,0.006829,0.057161,0.998023,-0.025186,0.753405,0.297814,-0.042499,-0.053282,0.024399,-0.997376,0.182555,0.760032,0.259395,0.026312,0.156181,0.096315,0.982669,0,0,0,0,0,0,0,0,0,1,0
26,-0.003866,1.175106,-0.004575,0.026126,0.006804,0.057012,0.998008,-0.024583,0.753376,0.297358,-0.042473,-0.055179,0.025252,-0.997253,0.181975,0.759897,0.25915,0.02606,0.154942,0.098616,0.982644,0,0,0,0,0,0,0,0,0,1,0
27,-0.003652,1.175668,-0.00514,0.025112,0.007019,0.057785,0.997989,-0.024481,0.753544,0.297289,-0.042226,-0.055919,0.025447,-0.997217,0.181657,0.759506,0.259186,0.026297,0.15413,0.099474,0.982679,0,0,0,0,0,0,0,0,0,1,0
28,-0.003852,1.175503,-0.004499,0.025357,0.005632,0.058024,0.997977,-0.024172,0.753409,0.297339,-0.042552,-0.056446,0.025985,-0.99716,0.181044,0.759176,0.259227,0.02761,0.152209,0.100849,0.982802,0,0,0,0,0,0,0,0,0,1,0
29,-0.004091,1.175681,-0.005148,0.025136,0.005896,0.059033,0.997922,-0.023665,0.752731,0.297528,-0.043354,-0.056716,0.02699,-0.997083,0.181235,0.759419,0.259309,0.029001,0.151855,0.101196,0.982781,0,0,0,0,0,0,0,0,0,1,0
30,-0.004835,1.175156,-0.004855,0.026077,0.004928,0.059103,0.997899,-0.023806,0.752922,0.296873,-0.042725,-0.057659,0.026646,-0.997066,0.180541,0.758726,0.258829,0.029252,0.150871,0.103875,0.982646,0,0,0,0,0,0,0,0,0,1,0
31,-0.004277,1.175621,-0.005127,0.024907,0.005365,0.059433,0.997907,-0.023427,0.752924,0.296889,-0.042878,-0.058024,0.026923,-0.997031,0.180681,0.758463,0.258962,0.029838,0.150699,0.104778,0.982559,0,0,0,0,0,0,0,0,0,1,0
32,-0.004176,1.175799,-0.004856,0.020957,0.004958,0.060148,0.997957,-0.023459,0.752851,0.296927,-0.043115,-0.05817,0.026876,-0.997013,0.180474,0.758033,0.259096,0.030001,0.149992,0.105123,0.982625,0,0,0,0,0,0,0,0,0,1,0
33,-0.004682,1.175759,-0.005861,0.023333,0.00514,0.060175,0.997902,-0.023506,0.752421,0.296915,-0.044056,-0.057877,0.027429,-0.996974,0.180324,0.757658,0.259159,0.031678,0.150064,0.104958,0.982579,0,0,0,0,0,0,0,0,0,1,0
34,-0.004902,1.174849,-0.004601,0.026574,0.004543,0.059859,0.997843,-0.02307,0.752506,0.296318,-0.043562,-0.059218,0.027295,-0.996921,0.180026,0.75774,0.258765,0.031533,0.149574,0.1062,0.982525,0,0,0,0,0,0,0,0,0,1,0
35,-0.004665,1.175378,-0.005182,0.025913,0.004649,0.059622,0.997874,-0.022896,0.752606,0.29642,-0.04359,-0.05981,0.027238,-0.996885,0.179897,0.757733,0.258839,0.031624,0.149457,0.107135,0.982438,0,0,0,0,0,0,0,0,0,1,0
36,-0.003895,1.175095,-0.005027,0.025623,0.005666,0.058565,0.997939,-0.022535,0.752511,0.296441,-0.044307,-0.060357,0.027926,-0.996802,0.179587,0.757467,0.259122,0.033121,0.148312,0.107972,0.982471,1,0,0,0,0,0,0,0,0,0,0
37,-0.006333,1.175302,-0.005296,0.025336,0.001909,0.062877,0.997698,-0.022656,0.752684,0.29644,-0.044319,-0.060381,0.027995,-0.996798,0.17939,0.757195,0.259053,0.033857,0.147766,0.108606,0.982458,1,0,0,0,0,0,0,0,0,0,0
38,-0.005879,1.174446,-0.005014,0.027415,0.001381,0.063105,0.997629,-0.022012,0.752325,0.296002,-0.043988,-0.061689,0.02866,-0.996714,0.179322,0.756678,0.258847,0.033646,0.146799,0.10922,0.982542,1,0,0,0,0,0,0,0,0,0,0
39,-0.006086,1.174019,-0.004613,0.028754,0.001286,0.0641,0.997528,-0.021715,0.751811,0.296244,-0.04535,-0.062714,0.02916,-0.996574,0.179193,0.756653,0.258919,0.034502,0.145972,0.109243,0.982633,1,0,0,0,0,0,0,0,0,0,0
40,-0.007378,1.174649,-0.005094,0.028048,-0.000352,0.065375,0.997466,-0.021544,0.751647,0.296008,-0.045689,-0.063102,0.029914,-0.996512,0.178831,0.756889,0.258768,0.035588,0.145504,0.109888,0.982592,0,0,0,0,0,0,0,0,0,1,0
41,-0.007039,1.174485,-0.004803,0.028482,0.0004,0.064331,0.997522,-0.021431,0.751835,0.296069,-0.045303,-0.06388,0.02978,-0.996484,0.178648,0.75609,0.259057,0.035433,0.144565,0.111234,0.982585,0,0,0,0,0,0,0,0,0,1,0
42,-0.005995,1.174126,-0.004707,0.028782,0.002013,0.062847,0.997606,-0.021478,0.751965,0.295772,-0.045712,-0.06398,0.029929,-0.996454,0.178438,0.756257,0.258818,0.036347,0.144563,0.112032,0.982461,0,0,0,0,0,0,0,0,0,1,0
43,-0.006398,1.17529,-0.005688,0.026843,0.001882,0.063134,0.997642,-0.021634,0.751756,0.295541,-0.046053,-0.063621,0.029979,-0.99646,0.178314,0.756103,0.258616,0.036973,0.144829,0.112355,0.982361,0,0,0,0,0,0,0,0,0,1,0
44,-0.006383,1.175011,-0.005736,0.026302,0.001737,0.063567,0.997629,-0.021387,0.75175,0.295479,-0.045635,-0.064286,0.030021,-0.996435,0.177844,0.755661,0.258529,0.037407,0.143721,0.114131,0.982303,0,0,0,0,0,0,0,0,0,1,0
45,-0.005798,1.174045,-0.004899,0.030057,0.002774,0.062428,0.997593,-0.021339,0.751867,0.29553,-0.045949,-0.064717,0.029992,-0.996394,0.177861,0.755325,0.258781,0.038001,0.143319,0.114723,0.98227,0,0,0,0,0,0,0,0,0,1,0
46,-0.005546,1.174331,-0.005206,0.029755,0.003268,0.061896,0.997634,-0.020888,0.751284,0.295381,-0.046755,-0.065155,0.030736,-0.996305,0.177838,0.755049,0.258977,0.037899,0.143791,0.115058,0.982166,0,0,0,0,0,0,0,0,0,1,0
47,-0.005337,1.1749,-0.005704,0.027966,0.003437,0.061792,0.997691,-0.020678,0.751602,0.295107,-0.046028,-0.065645,0.030769,-0.996306,0.17752,0.754975,0.258572,0.037293,0.143206,0.116371,0.98212,0,0,0,0,0,0,0,0,0,1,0
48,-0.005219,1.173305,-0.003774,0.032208,0.003047,0.061908,0.997557,-0.020763,0.751829,0.295173,-0.046615,-0.065919,0.03057,-0.996267,0.177154,0.754767,0.258724,0.038174,0.142289,0.116892,0.982157,0,0,0,0,0,0,0,0,0,1,0
49,-0.005571,1.173391,-0.004486,0.032386,0.002175,0.062551,0.997514,-0.020463,0.751004,0.295125,-0.047189,-0.066098,0.031192,-0.996209,0.17714,0.754399,0.258701,0.039417,0.142072,0.117811,0.98203,0,0,0,0,0,0,0,0,0,1,0
50,-0.006595,1.172884,-0.004484,0.033416,0.000763,0.064123,0.997382,-0.020565,0.750958,0.295256,-0.046589,-0.06619,0.031044,-0.996235,0.176527,0.754164,0.258301,0.037983,0.141978,0.122012,0.981587,0,0,0,0,0,0,0,0,0,1,0
51,-0.008475,1.171827,-0.003442,0.03654,-0.003125,0.068156,0.997,-0.020642,0.751281,0.295183,-0.046054,-0.065942,0.031417,-0.996265,0.175752,0.753598,0.258109,0.038856,0.139607,0.125005,0.981516,0,0,0,0,0,0,0,0,0,1,0
52,-0.008444,1.172403,-0.004051,0.036381,-0.00223,0.067916,0.997025,-0.020192,0.750737,0.295104,-0.04718,-0.066315,0.0321,-0.996166,0.175613,0.753402,0.258391,0.04024,0.138796,0.126355,0.981402,1,0,0,0,0,0,0,0,0,0,0
53,-0.008363,1.172402,-0.003466,0.035924,-0.003504,0.067725,0.997051,-0.019146,0.751094,0.29435,-0.042595,-0.068334,0.037212,-0.996058,0.175013,0.753053,0.258194,0.039373,0.137128,0.127592,0.981512,1,0,0,0,0,0,0,0,0,0,0
54,-0.009133,1.171849,-0.003454,0.037257,-0.004861,0.069486,0.996875,-0.018838,0.751085,0.294032,-0.043188,-0.069341,0.037954,-0.995935,0.174606,0.753031,0.2578,0.039392,0.136727,0.12879,0.981411,1,0,0,0,0,0,0,0,0,0,0
55,-0.010375,1.171293,-0.003044,0.039495,-0.007671,0.071152,0.996654,-0.018591,0.750651,0.294281,-0.044409,-0.0692,0.038029,-0.995888,0.174463,0.752955,0.258121,0.040065,0.137159,0.130215,0.981135,1,0,0,0,0,0,0,0,0,0,0
