time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
29,-0.013634,1.210743,0.001788,-0.099831,0.048566,0.060175,0.991995,-0.111752,0.882817,0.395675,-0.065441,-0.034835,-0.034976,0.996635,0.046524,0.878296,0.398253,-0.080447,0.039881,0.165712,0.982078,0,0,0,0,0,0,0,1,0,0,0,
30,-0.01355,1.214978,0.001061,-0.123208,0.054238,0.058487,0.98917,-0.110594,0.882097,0.395543,-0.068387,-0.037265,-0.04073,0.99613,0.046877,0.876118,0.399847,-0.081405,0.043641,0.169294,0.981228,0,0,0,0,0,0,0,1,0,0,0,
31,-0.016664,1.215922,-0.000732,-0.130779,0.052484,0.069812,0.987557,-0.110231,0.882495,0.394836,-0.068933,-0.037812,-0.041479,0.996041,0.046424,0.875619,0.40003,-0.080817,0.043476,0.173218,0.980599,0,0,0,0,0,0,0,1,0,0,0,
32,-0.008159,1.21419,0.001605,-0.114032,0.103929,0.081009,0.9847,-0.110203,0.882465,0.394371,-0.068282,-0.036574,-0.043028,0.996067,0.045519,0.875419,0.3999,-0.078432,0.041961,0.175461,0.98046,0,0,0,0,0,0,0,1,0,0,0,
33,-0.02463,1.215789,-0.001836,-0.124456,0.025461,0.063828,0.989843,-0.110217,0.882731,0.39398,-0.06975,-0.037974,-0.043074,0.99591,0.045787,0.875372,0.40008,-0.078498,0.042989,0.176281,0.980263,0,0,0,0,0,0,0,1,0,0,0,
34,-0.025562,1.222648,-0.007334,-0.151885,0.023445,0.060597,0.98626,-0.109826,0.882799,0.393473,-0.071283,-0.038741,-0.043775,0.995742,0.046426,0.875581,0.39961,-0.080101,0.043098,0.173088,0.980697,0,0,0,0,0,0,0,1,0,0,0,
35,-0.013999,1.233775,-0.039553,-0.199644,0.018533,0.028332,0.979284,-0.109842,0.883165,0.39283,-0.070718,-0.047691,-0.050596,0.99507,0.054764,1.03224,0.206807,-0.108511,0.024883,0.005556,0.993768,0,0,0,0,0,0,0,1,0,0,0,
36,-0.013863,1.233522,-0.036452,-0.202942,0.023511,0.031764,0.978393,-0.10967,0.883275,0.392689,-0.072262,-0.04608,-0.051586,0.994984,0.053041,1.042666,0.199878,-0.128954,0.057824,0.012203,0.989888,1,0,0,0,0,0,0,0,0,0,0,
37,-0.021679,1.220541,-0.019886,-0.139981,-0.004726,0.039825,0.989342,-0.105483,0.879725,0.400041,-0.064108,-0.063853,-0.08193,0.992522,0.031009,0.878325,0.393296,-0.097308,0.008149,0.173585,0.979966,1,0,0,0,0,0,0,0,0,0,0,
38,-0.055257,1.217149,-0.033725,-0.156535,-0.16712,0.079841,0.970151,-0.103872,0.880499,0.396102,-0.07626,-0.066843,-0.091435,0.990634,0.032302,0.876629,0.393694,-0.087253,0.011264,0.174793,0.980667,0,1,0,0,0,0,0,0,0,0,0,
39,-0.039665,1.212677,-0.022179,-0.12006,-0.039141,0.039327,0.991215,-0.106144,0.880882,0.395456,-0.074421,-0.063878,-0.083277,0.991689,0.030075,0.876856,0.39444,-0.078954,0.012357,0.173917,0.981512,1,0,0,0,0,0,0,0,0,0,0,
40,-0.016487,1.205693,-0.00774,-0.075956,0.017812,0.0109,0.996893,-0.1048,0.882616,0.394793,-0.07322,-0.064612,-0.087344,0.991381,0.031589,0.875601,0.3971,-0.079327,0.0222,0.174625,0.981183,1,0,0,0,0,0,0,0,0,0,0,
41,-0.020564,1.213408,-0.014775,-0.116385,0.006848,0.019147,0.992996,-0.105407,0.88181,0.395042,-0.073638,-0.064066,-0.08665,0.991446,0.031595,0.874547,0.397875,-0.080275,0.023095,0.175544,0.980921,1,0,0,0,0,0,0,0,0,0,0,
42,-0.006993,1.220032,-0.012902,-0.145811,0.059649,0.014606,0.987405,-0.105445,0.880622,0.395811,-0.074133,-0.064468,-0.087559,0.991303,0.031769,0.874699,0.397449,-0.080861,0.024312,0.175049,0.980932,1,0,0,0,0,0,0,0,0,0,0,
43,-0.009308,1.220932,-0.014878,-0.150146,0.076561,0.04233,0.984786,-0.105152,0.881011,0.395259,-0.074261,-0.062974,-0.087751,0.991373,0.031462,0.874995,0.397024,-0.080287,0.024327,0.177585,0.980523,1,0,0,0,0,0,0,0,0,0,0,
44,-0.02144,1.219929,-0.013024,-0.146504,0.047273,0.066013,0.985872,-0.105739,0.88139,0.394874,-0.075458,-0.063803,-0.086189,0.991366,0.031445,0.875362,0.396564,-0.081184,0.026094,0.177212,0.980472,0,1,0,0,0,0,0,0,0,0,0,
45,-0.026257,1.209452,-0.001382,-0.096536,0.020646,0.065507,0.992957,-0.105857,0.881057,0.395265,-0.075818,-0.063941,-0.085409,0.991397,0.031611,0.875448,0.39633,-0.082075,0.026906,0.176849,0.980441,0,0,0,0,0,0,0,1,0,0,0,
46,-0.026461,1.212397,-0.003624,-0.10726,0.020177,0.066579,0.991794,-0.105848,0.880969,0.395182,-0.076276,-0.064083,-0.087368,0.991182,0.031426,0.874985,0.397127,-0.082075,0.026967,0.178097,0.980213,0,0,0,0,0,0,0,1,0,0,0,
47,-0.025491,1.217479,-0.008153,-0.130385,0.024522,0.061687,0.989239,-0.105534,0.881252,0.394783,-0.076431,-0.064846,-0.087717,0.99109,0.031471,0.875026,0.396664,-0.082383,0.02752,0.178019,0.980186,1,0,0,0,0,0,0,0,0,0,0,
48,-0.01729,1.215823,-0.008168,-0.12382,0.065721,0.065779,0.987938,-0.105451,0.881201,0.394419,-0.076653,-0.06545,-0.087868,0.99102,0.031607,0.875116,0.396309,-0.082229,0.027962,0.178067,0.980178,0,0,0,0,0,0,0,1,0,0,0,
49,-0.022701,1.216253,-0.008289,-0.127328,0.043404,0.066873,0.988651,-0.105545,0.881478,0.394466,-0.076636,-0.065743,-0.088145,0.990977,0.031247,0.87516,0.396257,-0.082073,0.028078,0.178813,0.980052,0,0,0,0,0,0,0,1,0,0,0,
50,-0.030399,1.220532,-0.014714,-0.15102,0.017046,0.073575,0.985642,-0.105156,0.881014,0.394523,-0.076167,-0.06533,-0.089151,0.99095,0.031121,0.876035,0.395272,-0.081347,0.027087,0.18107,0.979726,0,0,0,0,0,0,0,1,0,0,0,
51,-0.030167,1.217275,-0.011426,-0.139086,0.017513,0.075672,0.98723,-0.105216,0.881027,0.394733,-0.076801,-0.066066,-0.088198,0.990938,0.031591,0.876167,0.395476,-0.081714,0.028293,0.180366,0.979791,0,0,0,0,0,0,0,1,0,0,0,
52,-0.031153,1.21723,-0.010916,-0.137497,0.015938,0.076973,0.987378,-0.10554,0.881211,0.394321,-0.077103,-0.066638,-0.088083,0.990886,0.031037,0.876943,0.394209,-0.08177,0.028374,0.181017,0.979664,1,0,0,0,0,0,0,0,0,0,0,
53,-0.032527,1.218448,-0.011928,-0.142858,0.011155,0.07606,0.986753,-0.105171,0.881306,0.394859,-0.076158,-0.066141,-0.089021,0.990909,0.030636,0.877147,0.394248,-0.081209,0.027773,0.182376,0.979476,1,0,0,0,0,0,0,0,0,0,0,
