time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
4,-0.012813,1.21329,-0.00421,0.020178,-0.075492,-0.009495,0.996897,-0.325183,0.7176,0.181851,-0.179266,0.274962,-0.108265,-0.93837,0.122898,0.73294,0.280828,0.145651,-0.002332,-0.054622,0.987824,1,0,0,0,0,0,0,0,0,0,0
5,-0.012781,1.212807,-0.005979,0.020065,-0.082604,-0.014763,0.996271,-0.324618,0.717415,0.18166,-0.179221,0.274464,-0.108054,-0.938549,0.125086,0.732622,0.28141,0.159601,0.002696,-0.067402,0.984874,1,0,0,0,0,0,0,0,0,0,0
6,-0.013447,1.2117,-0.005871,0.02317,-0.083475,-0.015559,0.996119,-0.325128,0.716954,0.182312,-0.180245,0.27449,-0.107525,-0.938406,0.122877,0.730543,0.281065,0.172016,-0.004165,-0.064951,0.982942,1,0,0,0,0,0,0,0,0,0,0
7,-0.014352,1.210874,-0.004698,0.02582,-0.088231,-0.015744,0.995641,-0.325471,0.716876,0.182341,-0.178749,0.275323,-0.10709,-0.938498,0.122629,0.729981,0.280896,0.17375,-0.006756,-0.06308,0.982744,1,0,0,0,0,0,0,0,0,0,0
8,-0.013752,1.208281,-0.002049,0.036266,-0.081943,-0.015965,0.995849,-0.325564,0.716965,0.182243,-0.178766,0.275732,-0.107263,-0.938355,0.1225,0.729129,0.281036,0.175356,-0.007007,-0.062744,0.982479,0,0,0,0,0,0,0,0,1,0,0
9,-0.014167,1.210514,-0.002359,0.028914,-0.091046,-0.017565,0.995272,-0.325663,0.716742,0.182401,-0.178802,0.276933,-0.106485,-0.938083,0.123142,0.729541,0.281211,0.176445,-0.006501,-0.064589,0.982168,0,0,0,0,0,0,0,0,1,0,0
10,-0.009356,1.210109,-0.000966,0.030996,-0.077047,-0.026768,0.996186,-0.325544,0.716545,0.182586,-0.179051,0.276916,-0.106612,-0.938026,0.122877,0.729798,0.281187,0.176643,-0.007222,-0.064757,0.982116,0,0,0,0,0,0,0,0,1,0,0
11,-0.005815,1.206545,0.000936,0.04488,-0.065583,-0.051446,0.995509,-0.325199,0.716387,0.183319,-0.180074,0.274998,-0.107149,-0.938333,0.122613,0.728885,0.28151,0.17906,-0.005533,-0.064067,0.981734,0,0,0,0,0,0,0,0,1,0,0
12,-0.005584,1.207783,0.000679,0.040316,-0.060024,-0.038533,0.996638,-0.325423,0.716829,0.182761,-0.178914,0.275053,-0.107105,-0.938543,0.122394,0.728848,0.281061,0.179351,-0.007366,-0.063184,0.981726,0,0,0,0,0,0,0,0,1,0,0
13,-0.004532,1.207229,0.000894,0.041805,-0.058672,-0.038722,0.99665,-0.325632,0.716413,0.183147,-0.180597,0.275753,-0.107002,-0.938028,0.122472,0.728424,0.281572,0.181758,-0.005669,-0.064441,0.981213,1,0,0,0,0,0,0,0,0,0,0
14,-0.006656,1.206733,0.001606,0.04607,-0.064918,-0.037166,0.996133,-0.325925,0.716582,0.183019,-0.179046,0.275278,-0.107068,-0.938457,0.122697,0.728489,0.28129,0.18095,-0.005007,-0.064371,0.981371,0,0,0,0,0,0,0,0,1,0,0
15,-0.007692,1.210832,-0.000758,0.02739,-0.06398,-0.029169,0.997149,-0.325961,0.71707,0.183007,-0.177156,0.275094,-0.106507,-0.938933,0.123004,0.728475,0.281196,0.181594,-0.004646,-0.063826,0.981289,1,0,0,0,0,0,0,0,0,0,0
16,-0.00298,1.212082,-0.000701,0.017942,-0.054123,-0.027442,0.997996,-0.324694,0.715768,0.185388,-0.182123,0.274001,-0.100305,-0.938985,0.122638,0.727247,0.281924,0.186653,-0.003963,-0.063588,0.980358,0,0,0,0,0,0,0,0,1,0,0
17,-0.012858,1.210749,-0.003722,0.026557,-0.087048,-0.025642,0.99552,-0.325308,0.715859,0.185224,-0.178209,0.272089,-0.100477,-0.940273,0.122037,0.727185,0.281135,0.184027,-0.005164,-0.061552,0.980979,0,0,0,0,0,0,0,0,1,0,0
18,-0.011382,1.210767,-0.002478,0.027267,-0.083764,-0.027333,0.995737,-0.32574,0.716409,0.184897,-0.176499,0.273949,-0.100329,-0.940071,0.122742,0.727782,0.281524,0.182789,-0.005278,-0.061934,0.981185,0,0,0,0,0,0,0,0,1,0,0
19,-0.012493,1.210071,-0.002896,0.028382,-0.084453,-0.027686,0.995638,-0.325384,0.715782,0.185,-0.177711,0.273197,-0.100498,-0.940044,0.122136,0.72748,0.281101,0.185164,-0.004449,-0.061554,0.980768,0,0,0,0,0,0,0,0,1,0,0
20,-0.012098,1.209058,-0.00084,0.032261,-0.083996,-0.028249,0.995543,-0.325692,0.715838,0.185261,-0.177563,0.273354,-0.100139,-0.940064,0.121864,0.727654,0.281331,0.184775,-0.005071,-0.060907,0.980879,1,0,0,0,0,0,0,0,0,0,0
21,-0.011392,1.208712,-0.000731,0.032999,-0.080963,-0.026647,0.995814,-0.325722,0.715819,0.185197,-0.176743,0.273229,-0.099525,-0.940321,0.121985,0.727808,0.281006,0.183323,-0.005225,-0.060979,0.981146,1,0,0,0,0,0,0,0,0,0,0
22,-0.011191,1.208543,-5.3e-05,0.035156,-0.079493,-0.028882,0.995797,-0.325756,0.716255,0.185103,-0.176635,0.273611,-0.099983,-0.940181,0.122087,0.727886,0.281327,0.183364,-0.00514,-0.061031,0.981135,1,0,0,0,0,0,0,0,0,0,0
23,-0.011104,1.208403,-0.000373,0.036206,-0.080215,-0.030513,0.995652,-0.325483,0.715516,0.185445,-0.178265,0.273155,-0.099944,-0.94001,0.12194,0.727411,0.281339,0.186046,-0.004369,-0.060837,0.980646,1,0,0,0,0,0,0,0,0,0,0
24,-0.010405,1.208716,0.000426,0.03531,-0.07771,-0.031437,0.995855,-0.325882,0.716134,0.185393,-0.176695,0.273196,-0.100111,-0.940277,0.121909,0.727824,0.28123,0.183638,-0.005255,-0.060017,0.981146,0,0,0,0,0,0,0,0,1,0,0
25,-0.009505,1.21011,-0.001604,0.030789,-0.078146,-0.033135,0.995915,-0.325748,0.715974,0.185345,-0.176862,0.273607,-0.099716,-0.940168,0.122176,0.727879,0.281325,0.183326,-0.005426,-0.060811,0.981154,0,0,0,0,0,0,0,0,1,0,0
26,-0.002635,1.21178,-0.004398,0.023325,-0.065515,-0.046707,0.996485,-0.325793,0.715524,0.185268,-0.177833,0.273757,-0.09924,-0.939992,0.122335,0.727585,0.28141,0.184029,-0.003067,-0.060259,0.981067,0,0,0,0,0,0,0,0,1,0,0
27,-0.002423,1.210928,-0.003862,0.026149,-0.063422,-0.049662,0.996407,-0.325939,0.71618,0.184958,-0.176585,0.27385,-0.099522,-0.94017,0.121962,0.727947,0.280914,0.182368,-0.004206,-0.059631,0.981411,0,0,0,0,0,0,0,0,1,0,0
28,-0.006654,1.210008,-0.002477,0.029806,-0.069734,-0.043685,0.996163,-0.326074,0.716507,0.185063,-0.176386,0.27367,-0.099523,-0.940259,0.122053,0.727451,0.281097,0.184113,-0.002948,-0.060414,0.981042,1,0,0,0,0,0,0,0,0,0,0
29,-0.007114,1.208786,-0.001283,0.034651,-0.071021,-0.042988,0.995946,-0.325847,0.715768,0.185327,-0.177772,0.273564,-0.100001,-0.939979,0.122209,0.726883,0.281625,0.186186,-0.002357,-0.060399,0.980653,1,0,0,0,0,0,0,0,0,0,0
30,-0.005786,1.209273,-0.00122,0.033722,-0.068831,-0.042855,0.996137,-0.32587,0.716056,0.185142,-0.176551,0.273514,-0.099047,-0.940324,0.122121,0.727365,0.281115,0.184579,-0.004618,-0.061214,0.980899,0,0,0,0,0,0,0,0,1,0,0
31,-0.006437,1.208726,-0.000396,0.036255,-0.069448,-0.041121,0.996078,-0.325876,0.716374,0.185036,-0.17638,0.273707,-0.09928,-0.940276,0.122707,0.727552,0.281545,0.189373,-0.000328,-0.066828,0.979628,0,0,0,0,0,0,0,0,1,0,0
