time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
4,-0.086627,1.234045,-0.004547,0.177284,-0.24823,-0.019255,0.952146,-0.263235,0.741319,0.131436,-0.127424,-0.108929,0.852309,-0.495447,-0.206171,0.846845,0.230314,0.024654,-0.355965,-0.057406,0.932408,1,0,0,0,0,0,0,0,0,0,0
5,-0.096866,1.276238,-0.013793,0.03161,-0.202655,0.02493,0.978422,-0.365882,0.865562,0.082775,0.087362,0.328767,0.092318,-0.935819,-0.205988,0.847407,0.232854,-0.029264,-0.311429,-0.051359,0.948429,1,0,0,0,0,0,0,0,0,0,0
6,-0.072542,1.282198,-0.034374,0.028531,-0.223053,-0.007892,0.974357,-0.37476,0.858556,0.083264,0.073119,0.349569,0.107321,-0.927867,-0.214598,0.84996,0.229936,-0.012569,-0.317731,-0.041804,0.947175,1,0,0,0,0,0,0,0,0,0,0
7,0.004757,1.284345,-0.0003,0.018976,0.001007,-0.032011,0.999307,-0.191294,0.859041,0.254279,0.095029,0.090463,0.089767,-0.987283,0.018506,0.850553,0.299016,-0.050166,-0.051156,0.004916,0.997418,1,0,0,0,0,0,0,0,0,0,0
8,-0.001919,1.266989,0.012113,0.075835,-0.041976,-0.034036,0.995655,-0.212666,0.866153,0.252014,0.081051,0.12931,0.052243,-0.986904,0.0189,0.850968,0.298313,-0.053852,-0.045513,0.008371,0.997476,0,0,0,0,0,0,0,0,1,0,0
9,-0.011164,1.281042,0.000257,0.031396,-0.084143,-0.031631,0.995457,-0.233936,0.8633,0.242766,0.070355,0.160188,0.051128,-0.983248,0.019041,0.852252,0.295623,-0.058931,-0.056582,-0.010707,0.9966,0,0,0,0,0,0,0,0,1,0,0
10,0.002987,1.275927,0.004748,0.043588,-0.03669,-0.034527,0.997778,-0.232731,0.860567,0.24473,0.067495,0.152199,0.050742,-0.984736,0.018554,0.851811,0.296257,-0.051385,-0.053197,-0.003861,0.997254,1,0,0,0,0,0,0,0,0,0,0
11,0.007972,1.27395,0.007538,0.049854,-0.018851,-0.032144,0.998061,-0.231421,0.860737,0.244752,0.065806,0.149358,0.050287,-0.985309,0.018198,0.851412,0.296179,-0.045312,-0.064426,-0.001976,0.996891,0,0,0,0,0,0,0,0,1,0,0
12,-0.002388,1.275383,0.005807,0.046454,-0.037315,-0.008305,0.998189,-0.231191,0.860585,0.245064,0.06461,0.147898,0.050736,-0.985585,0.017179,0.851585,0.294752,-0.024914,-0.086044,-0.018539,0.995807,1,0,0,0,0,0,0,0,0,0,0
13,-0.001002,1.271567,0.00857,0.061255,-0.033723,-0.011259,0.997489,-0.232208,0.861197,0.245722,0.064574,0.1525,0.051729,-0.984834,0.016328,0.851602,0.294137,-0.01913,-0.094401,-0.015299,0.995233,0,0,0,0,0,0,0,1,0,0,0
14,-0.000736,1.268791,0.009729,0.069823,-0.03047,-0.010024,0.997044,-0.23182,0.861651,0.245344,0.064692,0.150963,0.051238,-0.985089,0.01558,0.851644,0.292714,-0.023585,-0.098968,-0.007813,0.99478,1,0,0,0,0,0,0,0,0,0,0
15,-0.001177,1.273029,0.009193,0.05337,-0.030161,-0.008731,0.998081,-0.23234,0.862216,0.245802,0.064023,0.149468,0.049714,-0.985438,0.014229,0.851148,0.292312,-0.033004,-0.097768,0.002725,0.994658,0,0,0,0,0,0,0,1,0,0,0
16,0.001365,1.267705,0.012122,0.071111,-0.024673,-0.013072,0.997078,-0.231879,0.861333,0.246178,0.06119,0.148551,0.049046,-0.98579,0.015517,0.851276,0.292482,-0.038834,-0.099882,0.002248,0.994239,0,0,0,0,0,0,0,1,0,0,0
17,0.004912,1.269646,0.010034,0.066156,-0.017602,-0.015856,0.997528,-0.231188,0.861055,0.245993,0.060636,0.149279,0.051126,-0.985609,0.015324,0.851055,0.291521,-0.039539,-0.101377,0.004274,0.994053,0,0,0,0,0,0,0,1,0,0,0
18,0.00078,1.270449,0.008382,0.064769,-0.030077,-0.016333,0.997313,-0.23132,0.860883,0.246191,0.060194,0.147759,0.052039,-0.985817,0.014484,0.851137,0.291585,-0.038347,-0.100653,0.007425,0.994155,0,0,0,0,0,0,0,1,0,0,0
19,0.002078,1.267823,0.009723,0.074806,-0.029058,-0.01955,0.996583,-0.230344,0.859461,0.246529,0.057035,0.146405,0.052302,-0.986193,0.014283,0.850497,0.292015,-0.037509,-0.101274,0.008584,0.994114,0,0,0,0,0,0,0,1,0,0,1
20,0.000927,1.266392,0.010071,0.081327,-0.032551,-0.018704,0.99598,-0.230452,0.859929,0.24632,0.057527,0.145718,0.051748,-0.986296,0.013613,0.850162,0.291057,-0.040295,-0.102435,0.014018,0.993824,1,0,0,0,0,0,0,0,0,0,0
21,0.002128,1.26781,0.00984,0.077286,-0.030427,-0.021593,0.996311,-0.229861,0.860366,0.246268,0.057706,0.145597,0.052449,-0.986266,0.013667,0.851116,0.290407,-0.041515,-0.10721,0.009621,0.993323,1,0,0,0,0,0,0,0,0,0,1
22,0.000255,1.26809,0.009878,0.075828,-0.034258,-0.019033,0.996351,-0.229934,0.85999,0.246843,0.056702,0.145107,0.052904,-0.986372,0.012986,0.850496,0.290959,-0.041358,-0.104089,0.014481,0.993602,1,0,0,0,0,0,0,0,0,0,1
23,0.003559,1.267888,0.009045,0.076412,-0.029143,-0.026679,0.996293,-0.229679,0.8592,0.246997,0.055853,0.144918,0.054705,-0.98635,0.012581,0.850099,0.29074,-0.039837,-0.105972,0.016123,0.99344,1,0,0,0,0,0,0,0,0,0,1
24,0.001119,1.266521,0.008951,0.081452,-0.033847,-0.022374,0.995851,-0.230233,0.859006,0.246926,0.056048,0.148892,0.055769,-0.985687,0.01311,0.850037,0.290507,-0.043049,-0.098541,0.016841,0.994059,0,0,0,0,0,0,0,1,0,0,1
25,-0.006725,1.271663,0.006033,0.065515,-0.055336,-0.013457,0.996225,-0.2305,0.859248,0.247537,0.056086,0.148844,0.054987,-0.985737,0.013015,0.850278,0.29105,-0.041483,-0.098745,0.015476,0.994127,0,0,0,0,0,0,0,1,0,0,1
26,-0.000207,1.271728,0.006329,0.062533,-0.038512,-0.020094,0.997097,-0.229858,0.858581,0.247486,0.055776,0.147125,0.055176,-0.986002,0.012943,0.849666,0.291253,-0.04036,-0.10006,0.014615,0.994055,0,0,0,0,0,0,0,1,0,0,1
27,0.00392,1.270653,0.006261,0.065402,-0.022863,-0.014728,0.997488,-0.229483,0.85876,0.247726,0.055481,0.146852,0.055594,-0.986035,0.013338,0.849724,0.29153,-0.039566,-0.10095,0.014222,0.994003,1,0,0,0,0,0,0,0,0,0,1
28,0.004873,1.271159,0.004374,0.06479,-0.023514,-0.021581,0.997388,-0.229509,0.857997,0.247478,0.0539,0.147548,0.056106,-0.98599,0.011895,0.848595,0.29149,-0.03389,-0.101944,0.016414,0.994077,0,0,0,0,0,0,0,1,0,0,1
29,0.002041,1.272064,0.005562,0.062569,-0.030205,-0.019769,0.997388,-0.22957,0.858177,0.247642,0.054151,0.146935,0.055891,-0.98608,0.011848,0.849553,0.289389,-0.037901,-0.117647,-0.001693,0.992331,0,0,0,0,0,0,0,1,0,0,0
30,0.005414,1.273142,0.00518,0.05764,-0.024864,-0.022181,0.997781,-0.229121,0.858605,0.247453,0.055284,0.146742,0.05658,-0.986007,0.009358,0.849575,0.287451,-0.04169,-0.121265,0.010843,0.991685,0,0,0,0,0,0,0,1,0,0,0
31,0.005967,1.271547,0.006837,0.060025,-0.02376,-0.023986,0.997626,-0.228728,0.857415,0.247677,0.052937,0.146597,0.057944,-0.986078,0.009119,0.849018,0.287593,-0.04174,-0.12175,0.010583,0.991626,0,0,0,0,0,0,0,1,0,0,0
32,0.00267,1.27063,0.009457,0.062114,-0.03134,-0.023927,0.99729,-0.228378,0.857435,0.247562,0.055191,0.144662,0.058311,-0.986218,0.008338,0.849476,0.286012,-0.047556,-0.125901,0.015824,0.990776,0,0,0,0,0,0,0,1,0,0,1
33,-0.001528,1.271746,0.006674,0.062247,-0.039114,-0.015608,0.997172,-0.225916,0.857916,0.246853,0.056856,0.14173,0.059509,-0.986478,0.008579,0.849443,0.284991,-0.047678,-0.137734,0.006695,0.989298,0,0,0,0,0,0,0,1,0,0,1
34,-0.005704,1.275469,0.007237,0.048519,-0.050478,-0.014707,0.997438,-0.227683,0.858828,0.247647,0.056376,0.145022,0.057237,-0.986161,0.007835,0.849251,0.28524,-0.050452,-0.13317,0.011183,0.989745,0,0,0,0,0,0,0,1,0,0,1
35,-0.0074,1.276207,0.006035,0.046089,-0.058334,-0.015518,0.997112,-0.22734,0.859068,0.247895,0.054189,0.145215,0.052582,-0.986515,0.008132,0.849207,0.285353,-0.050196,-0.132929,0.0119,0.989782,0,0,0,0,0,0,0,1,0,0,1
36,-0.004314,1.273958,0.00491,0.05367,-0.052196,-0.018138,0.997029,-0.227024,0.858702,0.247382,0.054638,0.144287,0.056376,-0.986417,0.00817,0.848679,0.284962,-0.04997,-0.133295,0.013119,0.989729,1,0,0,0,0,0,0,0,0,0,0
37,-0.003442,1.275391,0.005322,0.049899,-0.048086,-0.017957,0.997434,-0.226803,0.858333,0.247981,0.052913,0.143814,0.056136,-0.986594,0.007598,0.848511,0.285232,-0.048868,-0.134347,0.014871,0.989617,1,0,0,0,0,0,0,0,0,0,0
38,-0.01036,1.273752,0.007109,0.054099,-0.059643,-0.008008,0.996721,-0.226059,0.858286,0.248048,0.052369,0.141599,0.057291,-0.986876,0.00666,0.84752,0.28472,-0.048148,-0.13487,0.019407,0.989502,1,0,0,0,0,0,0,0,0,0,0
39,-0.000885,1.268656,0.008286,0.071907,-0.037593,-0.016745,0.996562,-0.225059,0.857764,0.24775,0.051731,0.138599,0.057124,-0.987345,0.006698,0.847186,0.284683,-0.048588,-0.134894,0.020671,0.989452,1,0,0,0,0,0,0,0,0,0,0
