time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
4,0.011809,1.222939,0.012428,0.041388,-0.04727,-0.04022,0.997214,-0.177516,0.869028,0.309112,0.042522,0.14849,0.073837,-0.985236,0.094324,0.880365,0.341443,-0.076506,-0.026439,-0.061346,0.994829,1,0,0,0,0,0,0,0,0,0,0
5,0.011628,1.223149,0.012452,0.041648,-0.047568,-0.041006,0.997157,-0.177524,0.869128,0.309184,0.041373,0.147871,0.073394,-0.985412,0.094344,0.880382,0.341982,-0.073815,-0.027197,-0.06285,0.994918,1,0,0,0,0,0,0,0,0,0,0
6,0.012071,1.222817,0.012915,0.043068,-0.04732,-0.040806,0.997116,-0.177461,0.869088,0.309067,0.040987,0.148778,0.074149,-0.985235,0.094507,0.880337,0.341539,-0.075271,-0.027442,-0.063247,0.994777,1,0,0,0,0,0,0,0,0,0,0
7,0.012899,1.221493,0.014189,0.047739,-0.045439,-0.04314,0.996893,-0.177329,0.868905,0.309383,0.040462,0.148679,0.074608,-0.985237,0.094521,0.880422,0.341415,-0.075297,-0.028035,-0.063228,0.99476,1,0,0,0,0,0,0,0,0,0,0
8,0.011839,1.219855,0.015514,0.0541,-0.046074,-0.042071,0.996584,-0.177208,0.868842,0.309448,0.039647,0.147375,0.074926,-0.985441,0.093961,0.880433,0.341668,-0.07308,-0.029538,-0.06233,0.994938,1,0,0,0,0,0,0,0,0,0,0
9,0.011543,1.220721,0.015687,0.053049,-0.047994,-0.040694,0.996607,-0.177169,0.868879,0.309216,0.039219,0.14809,0.0753,-0.985323,0.094271,0.880474,0.341253,-0.074672,-0.028513,-0.063437,0.99478,1,0,0,0,0,0,0,0,0,0,0
10,0.01345,1.219427,0.016811,0.057221,-0.044436,-0.044448,0.996381,-0.177177,0.868881,0.309441,0.039105,0.148698,0.07563,-0.98521,0.094367,0.88045,0.341291,-0.075368,-0.028563,-0.063665,0.994711,1,0,0,0,0,0,0,0,0,0,0
11,0.01661,1.218117,0.017645,0.06349,-0.035388,-0.056134,0.995774,-0.177125,0.86876,0.309406,0.038462,0.148217,0.075419,-0.985324,0.09447,0.880312,0.341277,-0.074395,-0.029365,-0.063911,0.994745,1,0,0,0,0,0,0,0,0,0,0
12,0.015943,1.219275,0.017684,0.059313,-0.036265,-0.056009,0.996007,-0.177337,0.869085,0.3095,0.037892,0.148115,0.075171,-0.985381,0.094114,0.880393,0.341612,-0.073943,-0.029148,-0.06395,0.994783,1,0,0,0,0,0,0,0,0,0,0
13,0.016189,1.219651,0.017296,0.057782,-0.036817,-0.054961,0.996135,-0.177296,0.868811,0.309592,0.037669,0.148468,0.075377,-0.985321,0.094387,0.880624,0.341092,-0.074975,-0.028301,-0.064641,0.994686,1,0,0,0,0,0,0,0,0,0,0
14,0.015866,1.219165,0.017413,0.060213,-0.036948,-0.054553,0.996009,-0.177245,0.868888,0.309328,0.037201,0.147985,0.075545,-0.985398,0.094248,0.880563,0.340977,-0.074014,-0.029432,-0.064369,0.994742,1,0,0,0,0,0,0,0,0,0,0
15,0.01517,1.219702,0.017316,0.058729,-0.038013,-0.052563,0.996164,-0.177263,0.869069,0.309468,0.036952,0.148091,0.075808,-0.985372,0.093987,0.880448,0.341336,-0.073242,-0.029834,-0.063739,0.994828,1,0,0,0,0,0,0,0,0,0,0
16,0.016252,1.219409,0.017757,0.059345,-0.037079,-0.054468,0.99606,-0.177216,0.868786,0.309518,0.036938,0.148343,0.076234,-0.985301,0.094112,0.88054,0.341033,-0.074961,-0.029433,-0.064211,0.994682,1,0,0,0,0,0,0,0,0,0,0
17,0.015783,1.218871,0.018262,0.05981,-0.037825,-0.05443,0.996007,-0.177167,0.868706,0.309516,0.036542,0.147945,0.076283,-0.985372,0.093873,0.880543,0.340892,-0.074474,-0.030244,-0.063347,0.994749,1,0,0,0,0,0,0,0,0,0,0
18,0.014764,1.21945,0.018049,0.058956,-0.039381,-0.052516,0.9961,-0.177185,0.868866,0.309613,0.035923,0.147436,0.075987,-0.985494,0.09372,0.8803,0.341315,-0.073347,-0.030974,-0.062743,0.994849,1,0,0,0,0,0,0,0,0,0,0
19,0.015564,1.219044,0.018304,0.0603,-0.038291,-0.053056,0.996033,-0.177093,0.868906,0.309416,0.035989,0.14816,0.076294,-0.985359,0.094246,0.880482,0.340983,-0.07516,-0.02979,-0.064092,0.994664,1,0,0,0,0,0,0,0,0,0,0
20,0.016073,1.218699,0.018355,0.060282,-0.037761,-0.053458,0.996033,-0.176941,0.869111,0.309333,0.035671,0.148116,0.076575,-0.985356,0.094162,0.880662,0.340772,-0.075328,-0.029746,-0.064394,0.994633,1,0,0,0,0,0,0,0,0,0,0
21,0.014675,1.218871,0.017971,0.06068,-0.03914,-0.052587,0.996002,-0.177033,0.868967,0.309348,0.035234,0.147517,0.07641,-0.985474,0.093719,0.880351,0.340969,-0.073235,-0.031966,-0.063399,0.994784,1,0,0,0,0,0,0,0,0,0,0
22,0.015306,1.218493,0.018629,0.061776,-0.038998,-0.052179,0.995962,-0.176952,0.868936,0.309502,0.034935,0.147772,0.076879,-0.98541,0.094114,0.88061,0.340915,-0.074982,-0.030569,-0.064605,0.99462,1,0,0,0,0,0,0,0,0,0,0
23,0.016909,1.218496,0.018355,0.061245,-0.036997,-0.054296,0.995958,-0.176956,0.868597,0.309429,0.035089,0.148433,0.077156,-0.985283,0.094366,0.880579,0.340413,-0.075983,-0.03019,-0.065254,0.994514,1,0,0,0,0,0,0,0,0,0,0
24,0.015028,1.217956,0.018848,0.063726,-0.039055,-0.053017,0.995793,-0.176921,0.868708,0.309606,0.034418,0.147493,0.076791,-0.985477,0.094041,0.880498,0.340926,-0.073741,-0.031945,-0.064244,0.994693,1,0,0,0,0,0,0,0,0,0,0
25,0.015849,1.218485,0.018755,0.062295,-0.038581,-0.053247,0.995889,-0.176887,0.868775,0.309464,0.034576,0.14798,0.077011,-0.985381,0.094391,0.880627,0.340827,-0.075399,-0.030291,-0.065052,0.994568,1,0,0,0,0,0,0,0,0,0,0
26,0.016898,1.218026,0.019157,0.063492,-0.036974,-0.054642,0.995799,-0.176733,0.86878,0.309368,0.0344,0.148165,0.0772,-0.985345,0.094577,0.880563,0.340595,-0.076104,-0.02988,-0.066089,0.994459,1,0,0,0,0,0,0,0,0,0,0
27,0.016095,1.21829,0.018864,0.062408,-0.037417,-0.054759,0.995845,-0.176888,0.868781,0.309321,0.034372,0.148003,0.076935,-0.985391,0.094207,0.880616,0.340418,-0.075051,-0.030911,-0.065628,0.994538,1,0,0,0,0,0,0,0,0,0,0
28,0.015447,1.218784,0.018819,0.06105,-0.038557,-0.052519,0.996006,-0.176939,0.868652,0.309487,0.033877,0.147369,0.076839,-0.98551,0.094058,0.880608,0.340642,-0.074557,-0.031435,-0.065092,0.994594,1,0,0,0,0,0,0,0,0,0,0
29,0.016711,1.21859,0.018745,0.061402,-0.037007,-0.05398,0.995965,-0.176933,0.868692,0.309306,0.033981,0.148303,0.077258,-0.985334,0.094451,0.880668,0.340394,-0.076237,-0.030105,-0.066361,0.994423,1,0,0,0,0,0,0,0,0,0,0
