time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
25,0.011342,1.206724,-0.014944,0.067402,-0.057674,-0.044111,0.99508,-0.186634,0.723934,0.228944,-0.184014,0.168708,-0.106976,-0.96241,0.091426,0.780166,0.271473,0.026599,0.056017,0.08012,0.994854,1,0,0,0,0,0,0,0,0,0,0
26,0.012196,1.206656,-0.014454,0.066201,-0.056926,-0.045147,0.995158,-0.18662,0.723817,0.229031,-0.183796,0.169224,-0.106622,-0.9624,0.091685,0.780048,0.271136,0.026131,0.056851,0.078137,0.994977,1,0,0,0,0,0,0,0,0,0,0
27,0.014814,1.209518,-0.012492,0.049589,-0.049892,-0.055128,0.995998,-0.17393,0.7118,0.230543,-0.211109,0.149496,-0.094988,-0.961281,0.090712,0.782269,0.268663,0.024687,0.055984,0.075969,0.995231,1,0,0,0,0,0,0,0,0,0,0
28,0.019767,1.225781,-0.036583,-0.031561,-0.031459,-0.044659,0.998008,-0.180563,0.721977,0.23327,-0.201111,0.15289,-0.118404,-0.960291,0.083739,0.784351,0.269327,0.018938,0.046984,0.077021,0.995742,1,0,0,0,0,0,0,0,0,0,0
29,0.018874,1.213637,-0.027438,0.032422,-0.038819,-0.0349,0.99811,-0.181578,0.726392,0.230684,-0.191265,0.154926,-0.116142,-0.962251,0.086778,0.785046,0.267271,0.012044,0.053059,0.079335,0.995362,1,0,0,0,0,0,0,0,0,0,0
30,0.016512,1.213751,-0.024768,0.026234,-0.04267,-0.033833,0.998171,-0.183535,0.725837,0.2305,-0.192351,0.155967,-0.119656,-0.961435,0.08765,0.783622,0.268112,0.013115,0.05328,0.079914,0.99529,1,0,0,0,0,0,0,0,0,0,0
31,0.016192,1.21205,-0.024508,0.03202,-0.04211,-0.035007,0.997986,-0.183685,0.725529,0.231328,-0.190457,0.156277,-0.118055,-0.96196,0.088948,0.782305,0.26888,0.014594,0.054833,0.076868,0.995425,1,0,0,0,0,0,0,0,0,0,0
32,0.017389,1.212244,-0.024442,0.031337,-0.042161,-0.036761,0.997942,-0.183167,0.72498,0.231384,-0.190008,0.155672,-0.115492,-0.962458,0.091184,0.781499,0.269462,0.013833,0.057913,0.074744,0.995424,1,0,0,0,0,0,0,0,0,0,0
33,0.015753,1.211675,-0.023079,0.033496,-0.045934,-0.036845,0.997703,-0.183086,0.724232,0.231551,-0.190732,0.155682,-0.114875,-0.962387,0.091123,0.781437,0.269787,0.013062,0.057381,0.074597,0.995476,1,0,0,0,0,0,0,0,0,0,0
34,0.015254,1.210991,-0.022549,0.034898,-0.047503,-0.036359,0.997599,-0.183089,0.724726,0.231402,-0.189618,0.155958,-0.114661,-0.962588,0.091561,0.781122,0.269571,0.014152,0.057447,0.07163,0.995675,1,0,0,0,0,0,0,0,0,0,0
35,0.016931,1.210386,-0.021905,0.039092,-0.044597,-0.038001,0.997516,-0.183011,0.724655,0.23181,-0.189796,0.156009,-0.114518,-0.962561,0.090351,0.781736,0.269028,0.003073,0.051167,0.077342,0.995686,1,0,0,0,0,0,0,0,0,0,0
36,0.015758,1.210903,-0.022021,0.03752,-0.047101,-0.036102,0.997532,-0.182984,0.725404,0.231596,-0.189235,0.156092,-0.114466,-0.962665,0.090893,0.781476,0.269508,0.008081,0.054906,0.075772,0.99558,1,0,0,0,0,0,0,0,0,0,0
