time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
25,-0.008716,1.118377,-0.021925,0.109779,0.034077,0.036968,-0.992684,-0.033425,0.671787,0.210048,0.229949,0.051693,0.04919,0.970583,0.138214,0.683336,0.161234,0.191784,0.044863,-0.067751,0.978068,0,0,0,0,0,0,0,1,0,0,0,No symptoms
26,-0.005381,1.118096,-0.021881,0.109861,0.026931,0.041687,-0.992707,-0.03313,0.671511,0.210053,0.231142,0.052119,0.048002,0.970336,0.138168,0.683409,0.161803,0.191507,0.044838,-0.067669,0.978129,0,0,0,0,0,0,0,1,0,0,0,No symptoms
27,-0.000584,1.11604,-0.021254,0.102043,0.011412,0.041892,-0.993832,-0.031802,0.670565,0.208818,0.235222,0.053992,0.04457,0.969417,0.137744,0.681964,0.161206,0.19422,0.043166,-0.068246,0.977629,0,0,0,0,0,0,0,1,0,0,0,No symptoms
28,-0.004313,1.120041,-0.024028,0.11836,0.01702,0.032879,-0.99228,-0.032062,0.670433,0.209208,0.235729,0.054421,0.042142,0.969378,0.137614,0.682531,0.161753,0.192414,0.042847,-0.067559,0.978047,0,0,0,0,0,0,0,1,0,0,0,No symptoms
29,-0.004023,1.11512,-0.019858,0.097346,0.019903,0.037253,-0.994354,-0.031963,0.669536,0.2096,0.235935,0.053685,0.043238,0.969321,0.137838,0.682486,0.161219,0.192882,0.040958,-0.066422,0.978114,0,0,0,0,0,0,0,1,0,0,0,No symptoms
30,-0.005247,1.116439,-0.020759,0.102674,0.021285,0.035533,-0.993852,-0.031763,0.67076,0.208872,0.235866,0.055074,0.042841,0.969277,0.136653,0.682263,0.160966,0.194188,0.03957,-0.065845,0.977952,0,0,0,0,0,0,0,1,0,0,0,No symptoms
31,-0.007414,1.119442,-0.023124,0.114681,0.024033,0.029418,-0.992676,-0.032354,0.670274,0.209218,0.238032,0.054034,0.043415,0.968781,0.136117,0.681606,0.160817,0.197666,0.039904,-0.067185,0.97715,0,0,0,0,0,0,0,1,0,0,0,No symptoms
32,-0.005868,1.118057,-0.022653,0.110722,0.019196,0.028645,-0.993253,-0.031943,0.670079,0.209033,0.237134,0.05462,0.042195,0.969022,0.137099,0.681521,0.161005,0.195938,0.040459,-0.065505,0.977589,0,0,0,0,0,0,0,1,0,0,0,No symptoms
33,-0.007309,1.11948,-0.023738,0.115865,0.021623,0.024964,-0.992716,-0.032041,0.669833,0.209536,0.237318,0.054595,0.042251,0.968976,0.13697,0.681675,0.161402,0.195503,0.039459,-0.06499,0.977752,0,0,0,0,0,0,0,1,0,0,0,No symptoms
34,-0.00954,1.119485,-0.025691,0.115996,0.029479,0.02579,-0.992477,-0.032146,0.670231,0.209447,0.236701,0.054263,0.042156,0.96915,0.137023,0.681361,0.161011,0.195335,0.039245,-0.06454,0.977824,0,0,0,0,0,0,0,1,0,0,0,No symptoms
